6,C,09:06:50,07:30
11,N,09:14:40,01:50
13,P,09:18:40,04:10
17,N,09:24:10,03:20
19,N,09:25:50,02:00
22,P,09:27:40,03:40
26,P,09:32:20,07:00
30,N,09:37:30,10:20
42,P,09:48:20,02:20
44,N,09:50:10,00:40
46,C,09:52:20,02:20
49,C,09:56:20,00:30
51,C,09:58:40,02:30
53,N,10:00:40,02:50
58,N,10:06:40,03:30
62,P,10:10:20,12:00
69,N,10:19:30,05:40
75,N,10:24:40,00:40
76,N,10:26:20,14:40
87,N,10:39:50,07:10
93,N,10:48:20,14:50
104,N,10:59:40,04:50
110,C,11:06:40,07:20
118,N,11:12:40,05:10
127,N,11:24:40,10:10
132,N,11:27:30,01:30
136,N,11:31:10,05:20
139,P,11:32:50,14:50
150,C,11:45:20,13:10
161,P,11:55:40,09:10
170,P,12:02:40,15:00
181,P,12:13:50,04:00
185,N,12:19:50,14:10
197,C,12:35:10,09:50
206,C,12:46:30,06:40
213,P,12:52:20,01:50
215,N,12:54:30,14:20
225,N,13:03:00,08:50
234,C,13:12:20,08:00
240,P,13:19:40,05:00
243,N,13:22:40,03:00
247,N,13:26:00,00:10
248,N,13:26:40,04:30
251,C,13:30:40,13:30
261,N,13:40:00,09:50
267,P,13:47:20,14:50
282,P,14:06:00,05:20
287,N,14:11:00,15:00
296,P,14:19:00,06:40
